eventTypeStr,clockColliderPosition,clockSpawnPosition,dropDelayTime
Fire,12,1,0,斜め左上
Eye,1,2,0,三週目

Fire,1,1,0,発射リスト、斜め左下から
Fire,3,1,0,真上から
Fire,6,1,0,中心から、脅かしであえて当たらない
Fire,7,1,0,斜め右上から、これも当たらない
Fire,10,1,0,斜め右上
Fire,12,1,0,斜め左上

RightNui,7,6,0,使用可能なイベント、ぬい、その場落とし可能
LeftNui,8,9,0,ぬい、１つ先に落とすように
RightMiniYagi,5,4,0,早い突進、1,1によるその場落とし可能
LeftMiniYagi,6,8,0,早い突進、１つ先に落とすように
Fire,3,1,0,発射オブジェクトを事前において、登録したうえで指示だけ出す、速度の調整なども可能
RightMiniYagi,9,7,0,がれきとセットで避ける予定だった
Gareki,10,11,0
Eye,4,5,0,ステルス、１つ先に落とすように
